order_id,customer_name,region,city,product_category,sales_amount,profit,discount_percent,quantity,payment_method,order_date,customer_rating,year
ORD10000,Rachel Booth,North,Hyderabad,Unknown,6241.79,1297.37,5.0,4,Upi,2024-10-16,1.0,2024
ORD10001,Chase Johnston,South,Hyderabad,Unknown,4654.34,-335.28,20.0,1,Cash,2023-01-31,3.0,2023
ORD10002,Johnathan Castillo,South,Bangalore,Home,6619.22,1438.65,5.0,7,Net Banking,2025-04-08,3.0,2025
ORD10003,Pamela Garcia,West,Kochi,Sports,8807.57,-1551.03,15.0,9,Upi,2024-09-10,3.0,2024
ORD10004,Sara Simmons,North,Bangalore,Electronics,4414.62,-714.04,10.0,4,Net Banking,2024-08-14,3.0,2024
ORD10005,Sherri Evans,South,Delhi,Unknown,4414.66,-374.24,10.0,2,Net Banking,2023-06-16,3.0,2023
ORD10006,Angela Flores,East,Mumbai,Home,8948.03,1579.67,0.0,4,Cod,2024-12-05,3.0,2024
ORD10007,Shannon Franklin,South,Bangalore,Unknown,6918.59,121.75,10.0,8,Card,2023-08-06,4.0,2023
ORD10008,Cindy Thompson,North,Kochi,Fashion,3826.31,-303.71,5.0,9,Upi,2024-08-20,1.0,2024
ORD10009,Michelle Turner,North,Hyderabad,Unknown,6356.4,2211.18,20.0,5,Cod,2024-01-30,3.0,2024
ORD10010,Alexandra Burton,South,Chennai,Sports,3841.46,150.28,15.0,1,Cod,2023-12-15,3.0,2023
ORD10011,Susan Durham,South,Delhi,Sports,3835.68,303.84,5.0,3,Cod,2023-11-02,1.0,2023
ORD10012,Marissa Simmons,North ,Kochi,Electronics,5604.91,1587.85,10.0,4,Upi,2023-04-25,5.0,2023
ORD10013,Barbara Mccarthy,North ,Mumbai,Fashion,216.8,35.31,20.0,3,Upi,2025-02-23,3.0,2025
ORD10014,Keith Kirk,West,Kochi,Fashion,687.71,116.52,10.0,8,Card,2025-02-23,5.0,2025
ORD10015,Samantha Francis,North,Chennai,Electronics,3594.28,-704.64,10.0,1,Card,2023-08-24,2.0,2023
